n.name,labels(n),n.color,type(r),m.name,labels(m),m.color
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,工程固废资源化需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,通航智能调度需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,船舶智能助航需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,船舶高效过闸需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,船闸设备故障预警需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,分布式智能管控需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,动力系统智能监控需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,智能机器人作业需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,高精度光纤授时需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,大坝三维水下探测需求,[Demand],#4CAF50
船闸枢纽建设,[UpIndustry],#FBBC05,产生需求,船舶吃水自动检测需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,智能疏浚决策需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,水面清漂监测需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,港口一体化管控需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,船组水动力预报需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,生态过鱼仿真需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,标准船型研发需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,船舶智能航行控制需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,钾离子固态电池储能需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,风光波浪互补供电需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,水风光氢零碳微电网需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,船舶航道智慧消防需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,大坝结构安全诊断需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,大坝渗流隐蔽病害探测需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,枢纽施工断航风险评估需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,大体积混凝土控裂需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,枢纽混凝土制备需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,混凝土自耐久需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,混凝土数字化管理需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,水下环保裂岩需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,高陡边坡爆破安全需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,工程固废资源化需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,通航智能调度需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,船舶智能助航需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,船舶高效过闸需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,船闸设备故障预警需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,分布式智能管控需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,动力系统智能监控需求,[Demand],#4CAF50
航道整治与清礁,[UpIndustry],#FBBC05,产生需求,智能机器人作业需求,[Demand],#4CAF50
